areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-03-26,75_79,8.0,48.0,2.5
E92000001,England,nation,2021-03-26,80_84,4.0,38.0,2.6
E92000001,England,nation,2021-03-26,85_89,6.0,55.0,6.3
E92000001,England,nation,2021-03-26,90+,9.0,71.0,13.7
E92000001,England,nation,2021-03-25,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,00_59,6.0,46.0,0.1
E92000001,England,nation,2021-03-25,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-25,30_34,1.0,3.0,0.1
E92000001,England,nation,2021-03-25,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-25,40_44,0.0,4.0,0.1
E92000001,England,nation,2021-03-25,45_49,1.0,6.0,0.2
E92000001,England,nation,2021-03-25,50_54,1.0,18.0,0.5
E92000001,England,nation,2021-03-25,55_59,3.0,13.0,0.4
E92000001,England,nation,2021-03-25,60+,31.0,311.0,2.3
E92000001,England,nation,2021-03-25,60_64,3.0,17.0,0.5
E92000001,England,nation,2021-03-25,65_69,3.0,36.0,1.3
E92000001,England,nation,2021-03-25,70_74,4.0,33.0,1.2
E92000001,England,nation,2021-03-25,75_79,4.0,45.0,2.3
E92000001,England,nation,2021-03-25,80_84,8.0,41.0,2.8
E92000001,England,nation,2021-03-25,85_89,2.0,62.0,7.0
E92000001,England,nation,2021-03-25,90+,7.0,77.0,14.9
E92000001,England,nation,2021-03-24,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,00_59,4.0,49.0,0.1
E92000001,England,nation,2021-03-24,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-24,30_34,0.0,3.0,0.1
E92000001,England,nation,2021-03-24,35_39,2.0,3.0,0.1
E92000001,England,nation,2021-03-24,40_44,0.0,4.0,0.1
E92000001,England,nation,2021-03-24,45_49,0.0,7.0,0.2
E92000001,England,nation,2021-03-24,50_54,2.0,20.0,0.5
E92000001,England,nation,2021-03-24,55_59,0.0,12.0,0.3
E92000001,England,nation,2021-03-24,60+,30.0,323.0,2.4
E92000001,England,nation,2021-03-24,60_64,2.0,21.0,0.7
E92000001,England,nation,2021-03-24,65_69,1.0,35.0,1.3
E92000001,England,nation,2021-03-24,70_74,1.0,33.0,1.2
E92000001,England,nation,2021-03-24,75_79,10.0,46.0,2.4
E92000001,England,nation,2021-03-24,80_84,6.0,39.0,2.7
E92000001,England,nation,2021-03-24,85_89,5.0,67.0,7.6
E92000001,England,nation,2021-03-24,90+,5.0,82.0,15.9
E92000001,England,nation,2021-03-23,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,00_59,6.0,54.0,0.1
E92000001,England,nation,2021-03-23,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-23,30_34,0.0,3.0,0.1
E92000001,England,nation,2021-03-23,35_39,0.0,1.0,0.0
E92000001,England,nation,2021-03-23,40_44,2.0,4.0,0.1
E92000001,England,nation,2021-03-23,45_49,0.0,9.0,0.2
E92000001,England,nation,2021-03-23,50_54,3.0,19.0,0.5
E92000001,England,nation,2021-03-23,55_59,1.0,18.0,0.5
E92000001,England,nation,2021-03-23,60+,39.0,348.0,2.6
E92000001,England,nation,2021-03-23,60_64,2.0,19.0,0.6
E92000001,England,nation,2021-03-23,65_69,5.0,41.0,1.5
E92000001,England,nation,2021-03-23,70_74,6.0,39.0,1.4
E92000001,England,nation,2021-03-23,75_79,8.0,42.0,2.2
E92000001,England,nation,2021-03-23,80_84,3.0,46.0,3.2
E92000001,England,nation,2021-03-23,85_89,8.0,74.0,8.4
E92000001,England,nation,2021-03-23,90+,7.0,87.0,16.8
E92000001,England,nation,2021-03-22,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,00_59,11.0,51.0,0.1
E92000001,England,nation,2021-03-22,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-22,30_34,1.0,3.0,0.1
E92000001,England,nation,2021-03-22,35_39,0.0,1.0,0.0
E92000001,England,nation,2021-03-22,40_44,1.0,4.0,0.1
E92000001,England,nation,2021-03-22,45_49,3.0,9.0,0.2
E92000001,England,nation,2021-03-22,50_54,3.0,16.0,0.4
E92000001,England,nation,2021-03-22,55_59,3.0,18.0,0.5
E92000001,England,nation,2021-03-22,60+,45.0,373.0,2.8
E92000001,England,nation,2021-03-22,60_64,3.0,19.0,0.6
E92000001,England,nation,2021-03-22,65_69,7.0,40.0,1.4
E92000001,England,nation,2021-03-22,70_74,7.0,37.0,1.3
E92000001,England,nation,2021-03-22,75_79,3.0,45.0,2.3
E92000001,England,nation,2021-03-22,80_84,5.0,60.0,4.2
E92000001,England,nation,2021-03-22,85_89,8.0,81.0,9.2
E92000001,England,nation,2021-03-22,90+,12.0,91.0,17.6
E92000001,England,nation,2021-03-21,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,00_59,7.0,47.0,0.1
E92000001,England,nation,2021-03-21,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-21,30_34,1.0,2.0,0.1
E92000001,England,nation,2021-03-21,35_39,0.0,1.0,0.0
E92000001,England,nation,2021-03-21,40_44,1.0,3.0,0.1
E92000001,England,nation,2021-03-21,45_49,1.0,8.0,0.2
E92000001,England,nation,2021-03-21,50_54,1.0,16.0,0.4
E92000001,England,nation,2021-03-21,55_59,3.0,17.0,0.5
E92000001,England,nation,2021-03-21,60+,63.0,404.0,3.0
E92000001,England,nation,2021-03-21,60_64,3.0,25.0,0.8
E92000001,England,nation,2021-03-21,65_69,5.0,36.0,1.3
E92000001,England,nation,2021-03-21,70_74,4.0,39.0,1.4
E92000001,England,nation,2021-03-21,75_79,8.0,50.0,2.6
E92000001,England,nation,2021-03-21,80_84,8.0,68.0,4.7
E92000001,England,nation,2021-03-21,85_89,16.0,91.0,10.3
E92000001,England,nation,2021-03-21,90+,19.0,95.0,18.4
E92000001,England,nation,2021-03-20,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-20,00_59,7.0,50.0,0.1
E92000001,England,nation,2021-03-20,05_09,0.0,0.0,0.0
