areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-29,65_69,340,2710,97.3
E92000001,England,nation,2021-07-29,70_74,293,2000,71.1
E92000001,England,nation,2021-07-29,75_79,180,1354,67.4
E92000001,England,nation,2021-07-29,80_84,104,887,61.2
E92000001,England,nation,2021-07-29,85_89,71,584,66.0
E92000001,England,nation,2021-07-29,90+,50,369,70.8
E92000001,England,nation,2021-07-29,unassigned,8,91,
E92000001,England,nation,2021-07-28,00_04,473,3651,112.7
E92000001,England,nation,2021-07-28,00_59,24536,154672,360.6
E92000001,England,nation,2021-07-28,05_09,806,7485,211.5
E92000001,England,nation,2021-07-28,10_14,1738,15238,443.5
E92000001,England,nation,2021-07-28,15_19,3812,21628,694.1
E92000001,England,nation,2021-07-28,20_24,4806,23481,676.2
E92000001,England,nation,2021-07-28,25_29,3453,19143,507.6
E92000001,England,nation,2021-07-28,30_34,2809,16746,437.8
E92000001,England,nation,2021-07-28,35_39,1960,13006,347.9
E92000001,England,nation,2021-07-28,40_44,1577,10867,312.6
E92000001,England,nation,2021-07-28,45_49,1209,8978,246.7
E92000001,England,nation,2021-07-28,50_54,1062,8077,208.4
E92000001,England,nation,2021-07-28,55_59,831,6372,169.4
E92000001,England,nation,2021-07-28,60+,1677,12492,91.4
E92000001,England,nation,2021-07-28,60_64,602,4367,136.6
E92000001,England,nation,2021-07-28,65_69,342,2846,102.2
E92000001,England,nation,2021-07-28,70_74,267,2029,72.1
E92000001,England,nation,2021-07-28,75_79,203,1372,68.3
E92000001,England,nation,2021-07-28,80_84,132,921,63.6
E92000001,England,nation,2021-07-28,85_89,80,593,67.0
E92000001,England,nation,2021-07-28,90+,51,364,69.9
E92000001,England,nation,2021-07-28,unassigned,15,103,
E92000001,England,nation,2021-07-27,00_04,507,3920,121.0
E92000001,England,nation,2021-07-27,00_59,23505,158848,370.4
E92000001,England,nation,2021-07-27,05_09,897,8224,232.4
E92000001,England,nation,2021-07-27,10_14,1948,16735,487.1
E92000001,England,nation,2021-07-27,15_19,3519,21200,680.4
E92000001,England,nation,2021-07-27,20_24,4273,22254,640.9
E92000001,England,nation,2021-07-27,25_29,3131,19290,511.5
E92000001,England,nation,2021-07-27,30_34,2469,17240,450.8
E92000001,England,nation,2021-07-27,35_39,1954,13653,365.2
E92000001,England,nation,2021-07-27,40_44,1508,11402,328.0
E92000001,England,nation,2021-07-27,45_49,1264,9528,261.9
E92000001,England,nation,2021-07-27,50_54,1161,8649,223.2
E92000001,England,nation,2021-07-27,55_59,874,6753,179.5
E92000001,England,nation,2021-07-27,60+,1796,13042,95.5
